product_code,product_category,product_type,multiplication_factor,product_type_outcome
pp001,Banana,Banana (fresh),1,
pp002,Banana,Baby banana: Coastal (<800m above sea level),1,
pp003,Banana,Baby banana: Mountain (≥800m above sea level),1,
pp004,Banana,Plantain (fresh),1,
pp005,Banana,Other [Specify],1,
pp006,Cane sugar,Sugarcane,0.1,cane sugar
pp007,Cane sugar,Other [Specify],1,
pp008,Cocoa,Cocoa beans (raw),1,
pp009,Cocoa,Other [Specify],1,
pp010,Coffee,Arabica: Unprocessed cherry,0.5,Green bean
pp011,Coffee,Arabica: Dry cherry,0.5,Green bean
pp012,Coffee,Arabica: Unwashed parchment,0.8,Green bean
pp013,Coffee,Arabica: Washed parchment,0.8,Green bean
pp014,Coffee,Robusta: Unprocessed cherry,0.5,Green bean
pp015,Coffee,Robusta: Dry cherry,0.5,Green bean
pp016,Coffee,Robusta: Unwashed parchment,0.8,Green bean
pp017,Coffee,Robusta: Washed parchment,0.8,Green bean
pp018,Coffee,Other [Specify],1,
pp019,Dried fruit,Acai,1,
pp020,Dried fruit,Apples,1,
pp021,Dried fruit,Apricot,1,
pp022,Dried fruit,Banana,1,
pp023,Dried fruit,Blueberry,1,
pp024,Dried fruit,Cherry,1,
pp025,Dried fruit,Coconut,1,
pp026,Dried fruit,Date,1,
pp027,Dried fruit,Limes,1,
pp028,Dried fruit,Mango,1,
pp029,Dried fruit,Melon (Cucumis melo),1,
pp030,Dried fruit,Papaya,1,
pp031,Dried fruit,Pears,1,
pp032,Dried fruit,Physalis,1,
pp033,Dried fruit,Pineapple,1,
pp034,Dried fruit,Plums,1,
pp035,Dried fruit,Pomegranate,1,
pp036,Dried fruit,Raisin,1,
pp037,Dried fruit,Raspberries,1,
pp038,Dried fruit,Sultana,1,
pp039,Dried fruit,Watermelon,1,
pp040,Dried fruit,Wild Apricot,1,
pp041,Dried fruit,Other [Specify],1,
pp042,Dried vegetables,Tomato,1,
pp043,Dried vegetables,Other [Specify],1,
pp044,Flowers and Plants,Cut Flowers,1,
pp045,Flowers and Plants,Cut Foliage,1,
